line_no,raw_line,stripped,starts_with_expected_prefix,cleaned_text,cleaned_len,accepted_by_extractor
37,"    1.6.1. Identify any loops that iterate over dynamically-sized data structures. This contract has no loops, so this risk is null.","1.6.1. Identify any loops that iterate over dynamically-sized data structures. This contract has no loops, so this risk is null.",1,"Identify any loops that iterate over dynamically-sized data structures. This contract has no loops, so this risk is null.",121,1
38,,,0,,0,0
39,**1.7. Unchecked External Calls**,**1.7. Unchecked External Calls**,0,,0,0
40,    1.7.1. Review the `Address` library's `functionCallWithValue` for proper error handling via the `require(success...)` statement. Confirm it is robust.,1.7.1. Review the `Address` library's `functionCallWithValue` for proper error handling via the `require(success...)` statement. Confirm it is robust.,1,Review the `Address` library's `functionCallWithValue` for proper error handling via the `require(success...)` statement. Confirm it is robust.,143,1
41,"    1.7.2. Note that the main contract currently makes no external calls, but the presence of a `router` address suggests future intent. Flag this for future review if the contract is upgraded.","1.7.2. Note that the main contract currently makes no external calls, but the presence of a `router` address suggests future intent. Flag this for future review if the contract is upgraded.",1,"Note that the main contract currently makes no external calls, but the presence of a `router` address suggests future intent. Flag this for future review if the contract is upgraded.",182,1
42,,,0,,0,0
43,---,---,1,,0,0
44,,,0,,0,0
45,### **2. Business Logic Validation**,### **2. Business Logic Validation**,0,,0,0
46,,,0,,0,0
47,**2.1. Function Logic Correctness**,**2.1. Function Logic Correctness**,0,,0,0
48,    2.1.1. **CRITICAL:** Test `increaseAllowance`: Verify it mints new tokens to the owner's balance and increases `_totalTokens` correctly.,2.1.1. **CRITICAL:** Test `increaseAllowance`: Verify it mints new tokens to the owner's balance and increases `_totalTokens` correctly.,1,**CRITICAL:** Test `increaseAllowance`: Verify it mints new tokens to the owner's balance and increases `_totalTokens` correctly.,129,1
49,"    2.1.2. **CRITICAL:** Test `_transfer` restriction logic: For a transfer where `recipient == router` and `sender != caller`, assert it fails if `amount >= rTotal`.","2.1.2. **CRITICAL:** Test `_transfer` restriction logic: For a transfer where `recipient == router` and `sender != caller`, assert it fails if `amount >= rTotal`.",1,"**CRITICAL:** Test `_transfer` restriction logic: For a transfer where `recipient == router` and `sender != caller`, assert it fails if `amount >= rTotal`.",155,1
50,    2.1.3. Test `transferFrom`: Ensure it correctly deducts the allowance from the message sender (`_call()`) and not the `recipient`.,2.1.3. Test `transferFrom`: Ensure it correctly deducts the allowance from the message sender (`_call()`) and not the `recipient`.,1,Test `transferFrom`: Ensure it correctly deducts the allowance from the message sender (`_call()`) and not the `recipient`.,123,1
51,    2.1.4. Test `decreaseAllowance`: Verify it updates the `rTotal` threshold as expected (in wei).,2.1.4. Test `decreaseAllowance`: Verify it updates the `rTotal` threshold as expected (in wei).,1,Test `decreaseAllowance`: Verify it updates the `rTotal` threshold as expected (in wei).,88,1
52,,,0,,0,0
53,**2.2. State Transition Validation**,**2.2. State Transition Validation**,0,,0,0
54,"    2.2.1. Map all state variables (`_router`, `_allowances`, `router`, `caller`, `_totalTokens`, `rTotal`) and every function that changes them. Create a matrix to ensure no invalid state transitions are possible.","2.2.1. Map all state variables (`_router`, `_allowances`, `router`, `caller`, `_totalTokens`, `rTotal`) and every function that changes them. Create a matrix to ensure no invalid state transitions are possible.",1,"Map all state variables (`_router`, `_allowances`, `router`, `caller`, `_totalTokens`, `rTotal`) and every function that changes them. Create a matrix to ensure no invalid state transitions are possible.",203,1
55,    2.2.2. Verify that the total supply (`_totalTokens`) is always >= the sum of all balances.,2.2.2. Verify that the total supply (`_totalTokens`) is always >= the sum of all balances.,1,Verify that the total supply (`_totalTokens`) is always >= the sum of all balances.,83,1
56,,,0,,0,0
57,**2.3. Edge Case Handling**,**2.3. Edge Case Handling**,0,,0,0
58,    2.3.1. Test transfers of zero value. Ensure they are handled without error and emit a `Transfer` event.,2.3.1. Test transfers of zero value. Ensure they are handled without error and emit a `Transfer` event.,1,Test transfers of zero value. Ensure they are handled without error and emit a `Transfer` event.,96,1
59,    2.3.2. Test transferring to the zero address. The `require(recipient != address(0))` should prevent this.,2.3.2. Test transferring to the zero address. The `require(recipient != address(0))` should prevent this.,1,Test transferring to the zero address. The `require(recipient != address(0))` should prevent this.,98,1
60,    2.3.3. Test transferring from the zero address. The `require(sender != address(0))` should prevent this.,2.3.3. Test transferring from the zero address. The `require(sender != address(0))` should prevent this.,1,Test transferring from the zero address. The `require(sender != address(0))` should prevent this.,97,1
61,    2.3.4. Test approving the zero address. The `require(spender != address(0))` should prevent this.,2.3.4. Test approving the zero address. The `require(spender != address(0))` should prevent this.,1,Test approving the zero address. The `require(spender != address(0))` should prevent this.,90,1
62,    2.3.5. Test the scenario where the owner renounces ownership and then attempts to call a privileged function. It must fail.,2.3.5. Test the scenario where the owner renounces ownership and then attempts to call a privileged function. It must fail.,1,Test the scenario where the owner renounces ownership and then attempts to call a privileged function. It must fail.,116,1
63,,,0,,0,0
64,**2.4. Input Validation Completeness**,**2.4. Input Validation Completeness**,0,,0,0
65,    2.4.1. Confirm all address parameters in public/external functions are checked against `address(0)`.,2.4.1. Confirm all address parameters in public/external functions are checked against `address(0)`.,1,Confirm all address parameters in public/external functions are checked against `address(0)`.,93,1
66,    2.4.2. Verify that the `setrouteChain` and `Approve` functions validate their input addresses are not zero.,2.4.2. Verify that the `setrouteChain` and `Approve` functions validate their input addresses are not zero.,1,Verify that the `setrouteChain` and `Approve` functions validate their input addresses are not zero.,100,1
67,,,0,,0,0
68,---,---,1,,0,0
69,,,0,,0,0
70,### **3. Gas Optimization Analysis**,### **3. Gas Optimization Analysis**,0,,0,0
71,,,0,,0,0
72,**3.1. Expensive Operations Identification**,**3.1. Expensive Operations Identification**,0,,0,0
73,"    3.1.1. Identify repeated reads of the same storage slot (e.g., `_router[_call()]` in `increaseAllowance`). Recommend using a local variable in memory to cache the value.","3.1.1. Identify repeated reads of the same storage slot (e.g., `_router[_call()]` in `increaseAllowance`). Recommend using a local variable in memory to cache the value.",1,"Identify repeated reads of the same storage slot (e.g., `_router[_call()]` in `increaseAllowance`). Recommend using a local variable in memory to cache the value.",162,1
74,"    3.1.2. Replace the `decimals()` function call (a storage read) with a public constant variable (e.g., `uint8 public constant decimals = 18;`) to save gas.","3.1.2. Replace the `decimals()` function call (a storage read) with a public constant variable (e.g., `uint8 public constant decimals = 18;`) to save gas.",1,"Replace the `decimals()` function call (a storage read) with a public constant variable (e.g., `uint8 public constant decimals = 18;`) to save gas.",147,1
75,,,0,,0,0
76,**3.2. Storage vs Memory Usage**,**3.2. Storage vs Memory Usage**,0,,0,0
77,"    3.2.1. In the `transferFrom` function, the allowance is read from storage twice. Optimize by reading it into a memory variable once, subtracting the amount, and then storing the new value.","3.2.1. In the `transferFrom` function, the allowance is read from storage twice. Optimize by reading it into a memory variable once, subtracting the amount, and then storing the new value.",1,"In the `transferFrom` function, the allowance is read from storage twice. Optimize by reading it into a memory variable once, subtracting the amount, and then storing the new value.",181,1
78,,,0,,0,0
79,**3.3. Loop Optimization Opportunities**,**3.3. Loop Optimization Opportunities**,0,,0,0
80,    3.3.1. Not applicable. No loops present.,3.3.1. Not applicable. No loops present.,1,Not applicable. No loops present.,33,1
81,,,0,,0,0
82,**3.4. Function Visibility Optimization**,**3.4. Function Visibility Optimization**,0,,0,0
83,"    3.4.1. Change the visibility of the `_transfer` and `_approve` functions from `internal` to `private`, as they are not designed to be called by inherited contracts.","3.4.1. Change the visibility of the `_transfer` and `_approve` functions from `internal` to `private`, as they are not designed to be called by inherited contracts.",1,"Change the visibility of the `_transfer` and `_approve` functions from `internal` to `private`, as they are not designed to be called by inherited contracts.",157,1
84,,,0,,0,0
85,---,---,1,,0,0
86,,,0,,0,0
87,### **4. Standards Compliance**,### **4. Standards Compliance**,0,,0,0
88,,,0,,0,0
89,**4.1. ERC-20 Implementation Correctness**,**4.1. ERC-20 Implementation Correctness**,0,,0,0
90,"    4.1.1. Verify the contract correctly implements all required IERC20 functions: `totalSupply`, `balanceOf`, `transfer`, `allowance`, `approve`, `transferFrom`.","4.1.1. Verify the contract correctly implements all required IERC20 functions: `totalSupply`, `balanceOf`, `transfer`, `allowance`, `approve`, `transferFrom`.",1,"Verify the contract correctly implements all required IERC20 functions: `totalSupply`, `balanceOf`, `transfer`, `allowance`, `approve`, `transferFrom`.",151,1
91,    4.1.2. Ensure the `Transfer` and `Approval` events are emitted in all the required places and with the correct parameters.,4.1.2. Ensure the `Transfer` and `Approval` events are emitted in all the required places and with the correct parameters.,1,Ensure the `Transfer` and `Approval` events are emitted in all the required places and with the correct parameters.,115,1
92,"    4.1.3. **CRITICAL:** The `transfer` and `transferFrom` functions must return a boolean `true` on success, which they do.","4.1.3. **CRITICAL:** The `transfer` and `transferFrom` functions must return a boolean `true` on success, which they do.",1,"**CRITICAL:** The `transfer` and `transferFrom` functions must return a boolean `true` on success, which they do.",113,1
93,,,0,,0,0
94,**4.2. Interface Compliance**,**4.2. Interface Compliance**,0,,0,0
95,    4.2.1. Compile the contract and ensure it does not violate the IERC20 interface by missing functions or having incorrect signatures.,4.2.1. Compile the contract and ensure it does not violate the IERC20 interface by missing functions or having incorrect signatures.,1,Compile the contract and ensure it does not violate the IERC20 interface by missing functions or having incorrect signatures.,125,1
96,,,0,,0,0
97,**4.3. Event Emission Standards**,**4.3. Event Emission Standards**,0,,0,0
98,    4.3.1. Verify that the `Transfer` event is emitted with `address(0)` as the `from` parameter during the initial mint in the constructor.,4.3.1. Verify that the `Transfer` event is emitted with `address(0)` as the `from` parameter during the initial mint in the constructor.,1,Verify that the `Transfer` event is emitted with `address(0)` as the `from` parameter during the initial mint in the constructor.,129,1
99,    4.3.2. Verify that the `Approval` event is emitted every time an allowance is set via `approve`.,4.3.2. Verify that the `Approval` event is emitted every time an allowance is set via `approve`.,1,Verify that the `Approval` event is emitted every time an allowance is set via `approve`.,89,1
100,,,0,,0,0
101,---,---,1,,0,0
102,,,0,,0,0
103,### **5. Specific Test Scenarios**,### **5. Specific Test Scenarios**,0,,0,0
104,,,0,,0,0
105,**5.1. Critical Function Testing**,**5.1. Critical Function Testing**,0,,0,0
106,    5.1.1. **Minting Attack:** Simulate the owner calling `increaseAllowance` to arbitrarily inflate the supply and drain value from holders.,5.1.1. **Minting Attack:** Simulate the owner calling `increaseAllowance` to arbitrarily inflate the supply and drain value from holders.,1,**Minting Attack:** Simulate the owner calling `increaseAllowance` to arbitrarily inflate the supply and drain value from holders.,130,1
107,"    5.1.2. **Restriction Bypass:** Simulate the owner setting the `caller` address to the `router` address, then test if a transfer to the `router` bypasses the `rTotal` check.","5.1.2. **Restriction Bypass:** Simulate the owner setting the `caller` address to the `router` address, then test if a transfer to the `router` bypasses the `rTotal` check.",1,"**Restriction Bypass:** Simulate the owner setting the `caller` address to the `router` address, then test if a transfer to the `router` bypasses the `rTotal` check.",165,1
108,    5.1.3. **Ownership Renouncement:** Test all privileged functions after `renounceOwnership` is called to confirm they are permanently locked.,5.1.3. **Ownership Renouncement:** Test all privileged functions after `renounceOwnership` is called to confirm they are permanently locked.,1,**Ownership Renouncement:** Test all privileged functions after `renounceOwnership` is called to confirm they are permanently locked.,133,1
109,,,0,,0,0
110,**5.2. Attack Vector Simulations**,**5.2. Attack Vector Simulations**,0,,0,0
111,"    5.2.1. **Malicious Router:** Simulate the owner being tricked into setting a malicious `router` address. Analyze what an attacker could do (e.g., the contract itself could become unable to sell tokens if `router` is wrong).","5.2.1. **Malicious Router:** Simulate the owner being tricked into setting a malicious `router` address. Analyze what an attacker could do (e.g., the contract itself could become unable to sell tokens if `router` is wrong).",1,"**Malicious Router:** Simulate the owner being tricked into setting a malicious `router` address. Analyze what an attacker could do (e.g., the contract itself could become unable to sell tokens if `router` is wrong).",216,1
112,"    5.2.2. **Allowance Race:** Simulate a user approving a spender, then having the owner change the `rTotal` threshold before the spender can execute `transferFrom`, potentially causing it to fail.","5.2.2. **Allowance Race:** Simulate a user approving a spender, then having the owner change the `rTotal` threshold before the spender can execute `transferFrom`, potentially causing it to fail.",1,"**Allowance Race:** Simulate a user approving a spender, then having the owner change the `rTotal` threshold before the spender can execute `transferFrom`, potentially causing it to fail.",187,1
113,,,0,,0,0
114,**5.3. Boundary Condition Tests**,**5.3. Boundary Condition Tests**,0,,0,0
115,    5.3.1. Test transferring the entire balance of an account (`amount = balanceOf(sender)`).,5.3.1. Test transferring the entire balance of an account (`amount = balanceOf(sender)`).,1,Test transferring the entire balance of an account (`amount = balanceOf(sender)`).,82,1
116,    5.3.2. Test transferring the maximum amount allowed by `rTotal - 1` and the forbidden amount `rTotal` to the `router`.,5.3.2. Test transferring the maximum amount allowed by `rTotal - 1` and the forbidden amount `rTotal` to the `router`.,1,Test transferring the maximum amount allowed by `rTotal - 1` and the forbidden amount `rTotal` to the `router`.,111,1
117,    5.3.3. Test setting an allowance to `uint256.max` and using `transferFrom`.,5.3.3. Test setting an allowance to `uint256.max` and using `transferFrom`.,1,Test setting an allowance to `uint256.max` and using `transferFrom`.,68,1
118,,,0,,0,0
119,**5.4. Integration Testing Points**,**5.4. Integration Testing Points**,0,,0,0
120,"    5.4.1. **DEX Integration:** If `router` is set to a Uniswap V2 router address, write tests that simulate a user swapping tokens on a DEX. Ensure the 2% burn on sales (transfer to router) logic works and does not revert, causing failed transactions.","5.4.1. **DEX Integration:** If `router` is set to a Uniswap V2 router address, write tests that simulate a user swapping tokens on a DEX. Ensure the 2% burn on sales (transfer to router) logic works and does not revert, causing failed transactions.",1,"**DEX Integration:** If `router` is set to a Uniswap V2 router address, write tests that simulate a user swapping tokens on a DEX. Ensure the 2% burn on sales (transfer to router) logic works and does not revert, causing failed transactions.",241,1
121,"    5.4.2. **Wallet Integration:** Test compatibility with major wallets (MetaMask, Trust Wallet) by ensuring approval and transfer functions work as expected and return booleans.","5.4.2. **Wallet Integration:** Test compatibility with major wallets (MetaMask, Trust Wallet) by ensuring approval and transfer functions work as expected and return booleans.",1,"**Wallet Integration:** Test compatibility with major wallets (MetaMask, Trust Wallet) by ensuring approval and transfer functions work as expected and return booleans.",168,1
